,Name,Season,Offensive Cluster RF,Offensive Cluster SVM,Defensive Cluster RF,Defensive Cluster SVM,Playmaking Cluster RF,Playmaking Cluster SVM
0,Aaron Gordon,2022-23,4,4,4,4,6,5
1,Bruce Brown,2022-23,4,4,4,4,2,5
2,Christian Braun,2022-23,5,5,1,1,5,5
3,DeAndre Jordan,2022-23,3,3,4,4,3,3
4,Ish Smith,2022-23,5,5,1,1,4,5
5,Jack White,2022-23,5,5,1,1,5,5
6,Jamal Murray,2022-23,2,2,4,4,1,5
7,Jeff Green,2022-23,4,4,1,1,3,5
8,Kentavious Caldwell-Pope,2022-23,4,4,4,4,2,5
9,Michael Porter Jr.,2022-23,2,2,4,4,3,5
10,Nikola Jokic,2022-23,4,1,3,3,6,3
11,Peyton Watson,2022-23,5,5,1,1,5,5
12,Reggie Jackson,2022-23,4,4,1,1,4,5
13,Thomas Bryant,2022-23,4,4,4,4,3,5
14,Vlatko Cancar,2022-23,5,5,1,1,3,5
15,Zeke Nnaji,2022-23,3,5,1,1,3,5
16,Aaron Gordon,2021-22,4,4,4,4,6,5
17,Austin Rivers,2021-22,5,5,1,1,2,5
18,Bones Hyland,2021-22,4,4,1,1,2,5
19,Bryn Forbes,2021-22,4,4,1,1,4,5
20,Carlik Jones,2021-22,5,5,1,1,4,5
21,Davon Reed,2021-22,5,5,1,1,5,5
22,DeMarcus Cousins,2021-22,4,4,4,4,6,3
23,Facundo Campazzo,2021-22,5,5,1,1,4,5
24,JaMychal Green,2021-22,5,5,4,4,3,5
25,James Ennis III,2021-22,5,5,1,1,5,5
26,Jeff Green,2021-22,4,4,4,4,3,5
27,Markus Howard,2021-22,5,5,1,1,4,5
28,Michael Porter Jr.,2021-22,4,4,4,4,2,5
29,Monte Morris,2021-22,4,4,4,4,4,5
30,Nikola Jokic,2021-22,1,1,3,3,6,3
31,PJ Dozier,2021-22,5,5,4,4,2,5
32,Petr Cornelie,2021-22,5,5,1,1,5,5
33,Vlatko Cancar,2021-22,5,5,1,1,3,5
34,Will Barton,2021-22,2,2,4,4,1,5
35,Zeke Nnaji,2021-22,5,5,4,4,3,5
36,Aaron Gordon,2020-21,4,4,4,4,6,5
37,Austin Rivers,2020-21,4,4,1,1,2,5
38,Bol Bol,2020-21,5,5,1,1,5,5
39,Facundo Campazzo,2020-21,5,5,4,4,4,5
40,Greg Whittington,2020-21,5,5,1,1,5,5
41,JaMychal Green,2020-21,4,4,4,4,3,5
42,JaVale McGee,2020-21,3,3,4,4,3,3
43,Jamal Murray,2020-21,2,2,4,4,1,5
44,Markus Howard,2020-21,5,5,1,1,4,5
45,Michael Porter Jr.,2020-21,2,2,4,4,2,5
46,Monte Morris,2020-21,4,4,1,1,4,5
47,Nikola Jokic,2020-21,1,1,3,3,6,3
48,PJ Dozier,2020-21,4,4,4,4,2,5
49,Paul Millsap,2020-21,4,4,4,4,3,5
50,Shaquille Harrison,2020-21,5,5,1,1,5,5
51,Vlatko Cancar,2020-21,5,5,1,1,5,5
52,Will Barton,2020-21,4,4,4,4,2,5
53,Zeke Nnaji,2020-21,5,5,1,1,3,5
54,Bol Bol,2019-20,5,5,1,1,5,5
55,Gary Harris,2019-20,4,4,4,4,2,5
56,Jamal Murray,2019-20,2,2,4,4,1,5
57,Jerami Grant,2019-20,4,4,4,4,2,5
58,Keita Bates-Diop,2019-20,3,5,4,4,5,5
59,Mason Plumlee,2019-20,3,3,4,4,3,5
60,Michael Porter Jr.,2019-20,4,4,4,4,3,5
61,Monte Morris,2019-20,4,4,1,1,4,5
62,Nikola Jokic,2019-20,4,1,3,3,6,3
63,Noah Vonleh,2019-20,3,3,4,4,3,5
64,PJ Dozier,2019-20,5,5,1,1,2,5
65,Paul Millsap,2019-20,4,4,4,4,3,5
66,Torrey Craig,2019-20,5,5,4,4,5,5
67,Troy Daniels,2019-20,5,5,1,1,5,5
68,Tyler Cook,2019-20,3,3,1,1,3,5
69,Vlatko Cancar,2019-20,5,5,1,1,5,5
70,Will Barton,2019-20,4,4,4,4,1,5
71,Brandon Goodwin,2018-19,5,5,1,1,4,5
72,DeVaughn Akoon-Purcell,2018-19,5,5,1,1,5,5
73,Gary Harris,2018-19,4,4,4,4,2,5
74,Isaiah Thomas,2018-19,4,4,1,1,4,5
75,Jamal Murray,2018-19,2,2,4,4,1,5
76,Jarred Vanderbilt,2018-19,3,3,1,1,5,5
77,Juancho Hernangomez,2018-19,5,5,4,4,5,5
78,Malik Beasley,2018-19,4,4,1,1,5,5
79,Mason Plumlee,2018-19,3,3,4,4,6,5
80,Monte Morris,2018-19,4,4,1,1,4,5
81,Nick Young,2018-19,5,5,1,1,5,5
82,Nikola Jokic,2018-19,4,1,3,3,6,5
83,Paul Millsap,2018-19,4,4,4,4,3,5
84,Thomas Welsh,2018-19,5,5,1,1,3,5
85,Torrey Craig,2018-19,5,5,4,4,2,5
86,Trey Lyles,2018-19,4,4,4,4,3,5
87,Tyler Lydon,2018-19,5,5,1,1,5,5
88,Will Barton,2018-19,4,4,4,4,2,5
89,Darrell Arthur,2017-18,5,5,1,1,3,5
90,Devin Harris,2017-18,4,4,1,1,2,5
91,Gary Harris,2017-18,2,2,4,4,2,5
92,Jamal Murray,2017-18,2,2,4,4,1,5
93,Juancho Hernangomez,2017-18,5,5,1,1,5,5
94,Kenneth Faried,2017-18,3,3,4,4,5,5
95,Malik Beasley,2017-18,5,5,1,1,5,5
96,Mason Plumlee,2017-18,3,3,4,4,3,5
97,Monte Morris,2017-18,3,3,1,1,4,5
98,Nikola Jokic,2017-18,1,1,3,3,6,5
99,Paul Millsap,2017-18,4,4,4,4,6,5
100,Richard Jefferson,2017-18,5,5,1,1,5,5
101,Torrey Craig,2017-18,5,5,4,4,5,5
102,Trey Lyles,2017-18,4,4,4,4,3,5
104,Will Barton,2017-18,1,4,4,4,1,5
105,Wilson Chandler,2017-18,4,4,4,4,2,5
106,Alonzo Gee,2016-17,5,5,1,1,5,5
107,Danilo Gallinari,2016-17,1,2,4,4,3,5
108,Darrell Arthur,2016-17,5,5,1,1,3,5
109,Emmanuel Mudiay,2016-17,4,4,4,4,1,5
110,Gary Harris,2016-17,4,4,4,4,2,5
111,Jamal Murray,2016-17,4,4,1,1,2,5
112,Jameer Nelson,2016-17,4,4,1,1,1,5
113,Jarnell Stokes,2016-17,3,3,1,1,3,5
114,Juancho Hernangomez,2016-17,5,5,4,4,5,5
115,Kenneth Faried,2016-17,4,4,4,4,3,5
116,Malik Beasley,2016-17,5,5,1,1,5,5
117,Mason Plumlee,2016-17,4,4,4,4,6,5
118,Mike Miller,2016-17,5,5,1,1,5,5
119,Nikola Jokic,2016-17,4,4,3,3,6,5
120,Roy Hibbert,2016-17,3,3,4,4,3,3
121,Will Barton,2016-17,4,4,4,4,2,5
122,Wilson Chandler,2016-17,4,4,4,4,2,5
123,Axel Toupane,2015-16,5,5,1,1,2,5
124,D.J. Augustin,2015-16,4,4,1,1,4,5
125,Danilo Gallinari,2015-16,1,1,4,4,2,5
126,Darrell Arthur,2015-16,4,4,4,4,3,5
127,Emmanuel Mudiay,2015-16,4,4,4,4,1,5
128,Erick Green,2015-16,5,5,1,1,5,5
129,Gary Harris,2015-16,4,4,4,4,2,5
130,JaKarr Sampson,2015-16,3,5,1,1,2,5
131,Jameer Nelson,2015-16,4,4,4,4,1,5
132,Joffrey Lauvergne,2015-16,4,4,4,4,3,5
133,Jusuf Nurkic,2015-16,4,4,4,4,3,3
134,Kenneth Faried,2015-16,4,4,3,3,2,5
135,Kostas Papanikolaou,2015-16,5,5,1,1,3,5
136,Mike Miller,2015-16,5,5,1,1,5,5
137,Nikola Jokic,2015-16,4,4,4,4,3,5
138,Will Barton,2015-16,4,4,4,4,2,5
